api_version,kind,status,name,name_hash,signature,source_owner,compatibility
88.3,Function,-,__getline,0xc570134b,"ssize_t __getline(char**, size_t*, FILE*)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__isinfd,0xb647f660,int __isinfd(double),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__isinff,0xb647f662,int __isinff(float),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__isnand,0xb64a7e00,int __isnand(double),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__isnanf,0xb64a7e02,int __isnanf(float),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__itoa,0xec6bc050,"char* __itoa(int, char*, int)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__locale_mb_cur_max,0x29ca9def,int __locale_mb_cur_max(),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,+,__retarget_lock_acquire,0x8f152c92,void __retarget_lock_acquire(_LOCK_T),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,+,__retarget_lock_acquire_recursive,0x9eab8d09,void __retarget_lock_acquire_recursive(_LOCK_T),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,-,__retarget_lock_close,0x3ed29a5e,void __retarget_lock_close(_LOCK_T),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,+,__retarget_lock_close_recursive,0x9db5a9d5,void __retarget_lock_close_recursive(_LOCK_T),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,-,__retarget_lock_init,0x4f7e10dc,void __retarget_lock_init(_LOCK_T*),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,+,__retarget_lock_init_recursive,0x1f4dd5d3,void __retarget_lock_init_recursive(_LOCK_T*),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,+,__retarget_lock_release,0xaffa2429,void __retarget_lock_release(_LOCK_T),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,+,__retarget_lock_release_recursive,0x49202d60,void __retarget_lock_release_recursive(_LOCK_T),@sdk/toolchain-or-transitive-runtime,supported
88.3,Function,-,__retarget_lock_try_acquire,0x27242bb0,int __retarget_lock_try_acquire(_LOCK_T),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__retarget_lock_try_acquire_recursive,0x19a289a7,int __retarget_lock_try_acquire_recursive(_LOCK_T),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__signbitd,0x9c3ea177,int __signbitd(double),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__signbitf,0x9c3ea179,int __signbitf(float),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__signgam,0x69955ee9,int* __signgam(),@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__srget_r,0x7e8f1439,"int __srget_r(_reent*, FILE*)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__swbuf_r,0x89e6ef5b,"int __swbuf_r(_reent*, int, FILE*)",@sdk/toolchain-or-transitive-runtime,disabled
88.3,Function,-,__utoa,0xec7254dc,"char* __utoa(unsigned, char*, int)",@sdk/toolchain-or-transitive-runtime,disabled
